date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap
2025-02-24,1519,華城,661.0,15305550.0,101.17,558.88,554.95,580.4,surge,2025-02-20,2,0.798,B,208797208800
2025-02-25,1519,華城,639.0,7715950.0,49.3,566.51,557.71,581.37,surge,2025-02-20,3,0.828,B,201847831200
2025-02-25,2002,中鋼,23.9,112923974.0,26.99,21.61,20.97,21.4,surge,2025-02-13,8,0.83,B,376977783100
2025-02-26,1519,華城,625.0,8378525.0,52.37,572.08,559.91,582.09,surge,2025-02-20,4,0.849,B,197425500000
2025-02-26,2002,中鋼,23.8,60977700.0,14.51,21.82,21.06,21.44,surge,2025-02-13,9,0.835,B,375400470200
2025-02-27,1519,華城,630.0,7635526.0,48.1,577.6,562.21,582.88,surge,2025-02-20,5,0.844,B,199004904000
2025-02-27,2002,中鋼,24.35,120171446.0,29.26,22.06,21.17,21.48,surge,2025-02-13,10,0.817,B,384075691150
2025-03-03,2002,中鋼,24.0,77384598.0,18.57,22.25,21.26,21.53,surge,2025-02-13,11,0.828,B,378555096000
2025-03-04,2002,中鋼,23.6,53253946.0,12.57,22.38,21.34,21.56,surge,2025-02-13,12,0.841,B,372245844400
2025-03-05,1519,華城,638.0,7666289.0,48.91,588.75,567.71,584.68,surge,2025-02-20,8,0.83,B,201531950400
2025-03-05,2002,中鋼,24.1,59777275.0,14.41,22.54,21.43,21.6,surge,2025-02-13,13,0.823,B,380132408900
2025-03-06,1519,華城,623.0,6396601.0,39.85,592.01,569.52,585.32,surge,2025-02-20,9,0.849,B,196793738400
2025-03-06,2002,中鋼,24.25,74807763.0,18.14,22.7,21.52,21.65,surge,2025-02-13,14,0.819,B,382498378250
2025-03-07,2002,中鋼,24.25,35985075.0,8.73,22.85,21.61,21.69,surge,2025-02-13,15,0.821,B,382498378250
2025-03-10,2002,中鋼,24.7,91963434.0,22.71,23.03,21.71,21.74,surge,2025-02-13,16,0.807,B,389596286300
2025-03-11,2002,中鋼,24.3,58566887.0,14.23,23.15,21.8,21.78,surge,2025-02-13,17,0.824,A,383287034700
2025-03-12,2002,中鋼,24.15,39161631.0,9.46,23.24,21.87,21.82,surge,2025-02-13,18,0.828,A,380921065350
2025-03-13,2002,中鋼,23.7,36073810.0,8.55,23.29,21.93,21.85,surge,2025-02-13,19,0.848,A,373823157300
2025-05-02,2383,台光電,611.0,9240382.0,56.46,542.7,552.32,541.83,gap,2025-05-02,0,0.84,A,218934192100
2025-05-02,2059,川湖,1840.0,1125315.0,20.71,1698.28,1681.0,1592.6,surge,2025-04-25,4,0.842,A,175346664000
2025-05-05,2383,台光電,623.0,9422566.0,58.7,550.35,554.63,543.17,gap,2025-05-02,1,0.821,A,223234045300
2025-05-05,2059,川湖,1815.0,1313880.0,23.85,1709.4,1685.39,1596.28,surge,2025-04-25,5,0.849,A,172964236500
2025-05-06,2383,台光電,624.0,7327318.0,45.72,557.36,556.91,544.51,gap,2025-05-02,2,0.818,A,223592366400
