date,stock_code,stock_name,close,volume,turnover,ema20,ema60,ema120,signal_type,entry_date,d,r20,scenario,market_cap,exit_10pct_date,max_return_20d,ema20_cross_date,first_r_date
2024-01-30,2383,台光電,470.5,12845782.0,60.44,406.69,394.17,378.57,surge,2024-01-30,0,0.829,A,168590077550,,15.83,2024-01-10,True
2024-01-30,6669,緯穎,2235.0,2770874.0,61.93,1997.28,1843.26,1719.31,surge,2024-01-22,6,0.81,A,415354188000,,14.54,2024-01-09,True
2024-01-30,2382,廣達,253.0,41247412.0,104.36,235.15,221.8,210.19,gap,2024-01-22,6,0.878,A,977244732200,,5.34,2023-12-18,True
2024-01-30,3231,緯創,118.0,94346101.0,111.33,106.65,100.49,97.04,gap,2024-01-22,6,0.82,A,375288651400,,10.59,2024-01-09,True
2024-01-30,2376,技嘉,305.0,32132819.0,98.01,275.74,262.34,254.89,gap,2024-01-22,6,0.835,A,204316114500,,24.92,2024-01-10,True
2024-01-31,2383,台光電,461.0,8109350.0,37.38,411.86,396.36,379.93,surge,2024-01-30,1,0.849,A,165186027100,,18.22,2024-01-10,False
2024-01-31,6669,緯穎,2200.0,2041974.0,44.92,2016.59,1854.95,1727.25,surge,2024-01-22,7,0.825,A,408849760000,,16.36,2024-01-09,False
2024-01-31,3231,緯創,114.5,70466485.0,80.68,107.4,100.95,97.32,gap,2024-01-22,7,0.847,A,364157208350,,13.97,2024-01-09,False
2024-01-31,2376,技嘉,309.0,23461759.0,72.5,278.9,263.87,255.79,gap,2024-01-22,7,0.824,A,206995670100,,23.3,2024-01-10,False
2024-02-01,1519,華城,488.0,24478508.0,119.46,388.59,342.03,297.9,surge,2024-02-01,0,0.764,A,154149830400,,14.75,2023-12-27,True
2024-02-01,2383,台光電,450.0,7690692.0,34.61,415.49,398.12,381.09,surge,2024-01-30,2,0.873,A,161244495000,,21.11,2024-01-10,False
2024-02-01,6669,緯穎,2170.0,2659905.0,57.72,2031.2,1865.28,1734.57,surge,2024-01-22,8,0.841,A,403274536000,,17.97,2024-01-09,False
2024-02-01,3231,緯創,115.0,43954167.0,50.55,108.12,101.41,97.62,gap,2024-01-22,8,0.846,A,365747414500,,13.48,2024-01-09,False
2024-02-01,2376,技嘉,313.5,21182196.0,66.41,282.2,265.49,256.74,gap,2024-01-22,8,0.814,A,210010170150,,21.53,2024-01-10,False
2024-02-02,1519,華城,488.5,19609601.0,95.79,398.11,346.83,301.05,surge,2024-02-01,1,0.768,A,154307770800,,18.12,2023-12-27,False
2024-02-02,2383,台光電,475.0,10318006.0,49.01,421.16,400.64,382.64,surge,2024-01-30,3,0.831,A,170202522500,2024-03-13,14.74,2024-01-10,False
2024-02-02,6669,緯穎,2310.0,3313450.0,76.54,2057.75,1879.86,1744.08,surge,2024-01-22,9,0.796,A,429292248000,,10.82,2024-01-09,False
2024-02-02,2382,廣達,253.0,41010456.0,103.76,238.45,224.27,212.02,gap,2024-01-22,9,0.885,A,977244732200,,5.34,2023-12-18,False
2024-02-02,3231,緯創,120.0,126097858.0,151.32,109.25,102.02,97.99,gap,2024-01-22,9,0.813,A,381649476000,,8.75,2024-01-09,False
2024-02-02,2356,英業達,56.3,46413019.0,26.13,53.67,50.22,48.21,surge,2024-01-22,9,0.895,A,201974848130,,3.2,2024-01-18,True
2024-02-02,2376,技嘉,333.0,37929011.0,126.3,287.04,267.71,258.0,gap,2024-01-22,9,0.768,A,223073003700,,14.41,2024-01-10,False
2024-02-05,1519,華城,492.0,13118464.0,64.54,407.05,351.59,304.21,surge,2024-02-01,2,0.767,A,155413353600,,28.86,2023-12-27,False
2024-02-05,2383,台光電,497.5,9473097.0,47.13,428.43,403.82,384.54,surge,2024-01-30,4,0.797,A,178264747250,2024-03-13,9.55,2024-01-10,False
2024-02-05,6669,緯穎,2265.0,2200927.0,49.85,2077.49,1892.49,1752.69,surge,2024-01-22,10,0.818,A,420929412000,,13.02,2024-01-09,False
2024-02-05,2382,廣達,255.0,38108714.0,97.18,240.03,225.27,212.73,gap,2024-01-22,10,0.881,A,984969987000,,4.51,2023-12-18,False
2024-02-05,3231,緯創,124.5,156507032.0,194.85,110.71,102.76,98.42,gap,2024-01-22,10,0.787,A,395961331350,,4.82,2024-01-09,False
2024-02-05,2356,英業達,56.5,42768536.0,24.16,53.94,50.42,48.35,surge,2024-01-22,10,0.891,A,202692343150,,2.83,2024-01-18,False
2024-02-05,2376,技嘉,337.0,23935148.0,80.66,291.8,269.98,259.31,gap,2024-01-22,10,0.763,A,225752559300,,13.06,2024-01-10,False
2024-02-15,2330,台積電,697.0,132263803.0,921.88,667.59,613.29,586.43,gap,2024-02-15,0,0.882,A,18074969576500,,12.48,2024-01-17,True
2024-02-15,3231,緯創,130.5,160127657.0,208.97,112.36,103.83,99.11,gap,2024-02-15,0,0.832,A,415043805150,2024-02-23,-3.45,2024-01-09,False
2024-02-15,2376,技嘉,370.5,40661712.0,150.65,297.59,273.34,261.35,gap,2024-02-15,0,0.767,A,248193837450,2024-03-13,2.83,2024-01-10,False
2024-02-15,2383,台光電,545.0,10073449.0,54.9,455.61,415.14,390.94,gap,2024-02-15,0,0.765,A,195284999500,2024-02-22,-2.02,2024-01-10,False
2024-02-15,1519,華城,496.0,10660445.0,52.88,427.75,362.59,311.36,surge,2024-02-01,3,0.765,A,156676876800,,34.07,2023-12-27,False
2024-02-15,6669,緯穎,2345.0,5531528.0,129.71,2144.97,1928.65,1775.69,surge,2024-01-22,11,0.797,A,435796676000,,9.17,2024-01-09,False
2024-02-15,2382,廣達,266.5,66714823.0,177.8,245.65,228.23,214.65,gap,2024-01-22,11,0.848,A,1029390202100,2024-02-21,-3.38,2023-12-18,False
2024-02-15,2356,英業達,58.0,109346958.0,63.42,53.91,50.63,48.52,surge,2024-01-22,11,0.866,A,208073555800,,0.17,2024-01-18,False
2024-02-16,3231,緯創,126.0,126943944.0,159.95,113.66,104.56,99.55,gap,2024-02-15,1,0.868,A,400731949800,,-2.78,2024-01-09,False
2024-02-16,2376,技嘉,381.0,40475080.0,154.21,305.53,276.87,263.33,gap,2024-02-15,1,0.75,A,255227670900,2024-02-23,-3.81,2024-01-10,False
2024-02-16,2383,台光電,534.0,8554146.0,45.68,463.07,419.04,393.3,gap,2024-02-15,1,0.785,A,191343467400,2024-03-12,-1.87,2024-01-10,False
2024-02-16,1519,華城,503.0,16147765.0,81.22,434.92,367.19,314.53,surge,2024-02-01,4,0.756,A,158888042400,,37.97,2023-12-27,False
2024-02-16,6669,緯穎,2285.0,2845525.0,65.02,2158.31,1940.34,1784.1,surge,2024-01-22,12,0.827,A,424646228000,,12.04,2024-01-09,False
2024-02-16,2356,英業達,58.1,68655668.0,39.89,54.31,50.88,48.68,surge,2024-01-22,12,0.865,A,208432303310,,-1.89,2024-01-18,False
2024-02-19,2376,技嘉,366.5,24374176.0,89.33,311.34,279.81,265.03,gap,2024-02-15,2,0.785,A,245514281850,2024-03-13,-1.09,2024-01-10,False
2024-02-19,2383,台光電,515.0,5893887.0,30.35,468.02,422.19,395.31,gap,2024-02-15,2,0.821,A,184535366500,2024-03-12,1.75,2024-01-10,False
2024-02-19,1519,華城,502.0,13697663.0,68.76,441.31,371.61,317.62,surge,2024-02-01,5,0.76,A,158572161600,,38.25,2023-12-27,False
2024-02-19,6669,緯穎,2250.0,1832618.0,41.23,2167.04,1950.49,1791.8,surge,2024-01-22,13,0.847,A,418141800000,,13.78,2024-01-09,False
2024-02-19,2356,英業達,56.5,42864784.0,24.22,54.52,51.06,48.81,surge,2024-01-22,13,0.892,A,202692343150,,0.88,2024-01-18,False
2024-02-20,2376,技嘉,357.0,30488942.0,108.85,315.69,282.34,266.55,gap,2024-02-15,3,0.81,A,239150337300,2024-03-14,1.54,2024-01-10,False
2024-02-20,2383,台光電,509.0,6662614.0,33.91,471.92,425.03,397.19,gap,2024-02-15,3,0.836,A,182385439900,2024-03-12,2.95,2024-01-10,False
2024-02-20,1519,華城,502.0,11805408.0,59.26,447.09,375.88,320.67,surge,2024-02-01,6,0.764,A,158572161600,,38.25,2023-12-27,False
2024-02-20,6669,緯穎,2205.0,2568746.0,56.64,2170.66,1958.84,1798.63,surge,2024-01-22,14,0.864,A,409778964000,,16.1,2024-01-09,False
2024-02-20,2356,英業達,57.0,30040355.0,17.12,54.76,51.25,48.94,surge,2024-01-22,14,0.883,A,204486080700,,-0.7,2024-01-18,False
2024-02-21,2376,技嘉,347.5,19135732.0,66.5,318.72,284.47,267.89,gap,2024-02-15,4,0.837,A,232786392750,2024-03-18,4.32,2024-01-10,False
2024-02-21,1519,華城,507.0,11414930.0,57.87,452.79,380.18,323.75,surge,2024-02-01,7,0.758,A,160151565600,,38.07,2023-12-27,False
2024-02-21,6669,緯穎,2155.0,1417778.0,30.55,2169.17,1965.27,1804.52,surge,2024-01-22,15,0.884,A,400486924000,,18.79,2024-01-09,False
2024-02-21,2356,英業達,56.6,27201245.0,15.4,54.93,51.43,49.07,surge,2024-01-22,15,0.886,A,203051090660,,0.0,2024-01-18,False
2024-02-22,2376,技嘉,347.0,35207530.0,122.17,321.41,286.52,269.2,gap,2024-02-15,5,0.844,A,232451448300,2024-03-18,4.47,2024-01-10,False
2024-02-22,1519,華城,517.0,12128744.0,62.71,458.91,384.67,326.95,surge,2024-02-01,8,0.745,A,163310373600,,38.1,2023-12-27,False
2024-02-22,2356,英業達,56.3,71330352.0,40.16,55.06,51.59,49.19,surge,2024-01-22,16,0.889,A,201974848130,,8.53,2024-01-18,False
2024-02-23,1519,華城,560.0,15760368.0,88.26,468.54,390.42,330.8,surge,2024-02-23,0,0.781,A,176893248000,2024-03-08,40.18,2023-12-27,False
2024-02-23,2454,聯發科,1100.0,24851080.0,273.36,994.11,951.77,897.84,surge,2024-02-23,0,0.859,A,1764303420000,,11.82,2024-02-19,True
2024-02-23,2376,技嘉,342.5,28278413.0,96.85,323.42,288.36,270.41,gap,2024-02-15,6,0.862,A,229436948250,2024-03-19,5.84,2024-01-10,False
2024-02-23,2383,台光電,510.0,8380472.0,42.74,478.75,431.97,402.1,gap,2024-02-15,6,0.851,A,182743761000,2024-03-12,2.75,2024-01-10,False
2024-02-23,6669,緯穎,2170.0,3367045.0,73.06,2164.58,1976.73,1815.61,surge,2024-01-22,17,0.884,A,403274536000,,17.97,2024-02-22,True
2024-02-26,1519,華城,538.0,2494718.0,13.42,475.15,395.26,334.22,surge,2024-02-23,1,0.82,A,169943870400,,46.47,2023-12-27,False
2024-02-26,2454,聯發科,1115.0,12802833.0,142.75,1005.62,957.12,901.43,surge,2024-02-23,1,0.851,A,1788362103000,,10.31,2024-02-19,False
2024-02-26,2383,台光電,524.0,4895437.0,25.65,483.06,434.98,404.11,gap,2024-02-15,7,0.836,A,187760256400,2024-03-12,-0.38,2024-01-10,False
2024-02-26,6669,緯穎,2220.0,1893757.0,42.04,2169.86,1984.7,1822.3,surge,2024-01-22,18,0.872,A,412566576000,,15.32,2024-02-22,False
2024-02-27,1519,華城,528.0,1171061.0,6.18,480.19,399.61,337.43,surge,2024-02-23,2,0.844,A,166785062400,,49.24,2023-12-27,False
2024-02-27,2454,聯發科,1115.0,17764235.0,198.07,1016.04,962.3,904.96,surge,2024-02-23,2,0.853,A,1788362103000,,10.31,2024-02-19,False
2024-02-27,2383,台光電,504.0,6051428.0,30.5,485.06,437.25,405.76,gap,2024-02-15,8,0.878,A,180593834400,2024-03-12,3.57,2024-01-10,False
2024-02-29,1519,華城,538.0,1525066.0,8.2,485.69,404.15,340.74,surge,2024-02-23,3,0.838,A,169943870400,,46.47,2023-12-27,False
2024-02-29,2454,聯發科,1140.0,9629679.0,109.78,1027.85,968.12,908.85,surge,2024-02-23,3,0.836,A,1828459908000,,7.89,2024-02-19,False
2024-02-29,2376,技嘉,345.0,20496979.0,70.71,327.29,293.09,273.71,gap,2024-02-15,9,0.883,A,231111670500,2024-03-18,5.07,2024-01-10,False
